gender,age,percentile,vo2max,interpretation
F,20,15,18,Poor
F,20,16,18.8,Poor
F,20,17,19.5,Poor
F,20,18,20.2,Poor
F,20,19,20.9,Poor
F,20,20,21.6,Fair
F,20,21,22.4,Fair
F,20,22,23.1,Fair
F,20,23,23.8,Fair
F,20,24,24.5,Fair
F,20,25,25.2,Fair
F,20,26,26,Fair
F,20,27,26.7,Fair
F,20,28,27.4,Fair
F,20,29,28.1,Fair
F,20,30,28.8,Fair
F,20,31,29.6,Fair
F,20,32,30.3,Fair
F,20,33,31,Fair
F,20,34,31.7,Fair
F,20,35,32.5,Fair
F,20,36,33.2,Fair
F,20,37,33.9,Fair
F,20,38,34.6,Fair
F,20,39,35.3,Fair
F,20,40,36.1,Normal
F,20,41,36.1,Normal
F,20,42,36.2,Normal
F,20,43,36.3,Normal
F,20,44,36.4,Normal
F,20,45,36.5,Normal
F,20,46,36.5,Normal
F,20,47,36.6,Normal
F,20,48,36.7,Normal
F,20,49,36.8,Normal
F,20,50,36.9,Normal
F,20,51,37,Normal
F,20,52,37.1,Normal
F,20,53,37.2,Normal
F,20,54,37.3,Normal
F,20,55,37.4,Normal
F,20,56,37.6,Normal
F,20,57,37.7,Normal
F,20,58,37.8,Normal
F,20,59,37.9,Normal
F,20,60,38.1,Good
F,20,61,38.2,Good
F,20,62,38.3,Good
F,20,63,38.5,Good
F,20,64,38.6,Good
F,20,65,38.8,Good
F,20,66,38.9,Good
F,20,67,39.1,Good
F,20,68,39.2,Good
F,20,69,39.4,Good
F,20,70,39.5,Good
F,20,71,39.7,Good
F,20,72,39.8,Good
F,20,73,39.9,Good
F,20,74,40.1,Good
F,20,75,40.2,Good
F,20,76,40.4,Good
F,20,77,40.5,Good
F,20,78,40.7,Good
F,20,79,40.8,Good
F,20,80,41,Excellent
F,20,81,41.2,Excellent
F,20,82,41.4,Excellent
F,20,83,41.5,Excellent
F,20,84,41.7,Excellent
F,20,85,42,Excellent
F,20,86,42.3,Excellent
F,20,87,42.7,Excellent
F,20,88,43.2,Excellent
F,20,89,43.7,Excellent
F,20,90,44.4,Excellent
F,20,91,45.1,Excellent
F,20,92,45.9,Excellent
F,20,93,46.9,Excellent
F,20,94,47.9,Excellent
F,20,95,49,Excellent
F,20,96,55.2,Excellent
F,20,97,61.3,Excellent
F,20,98,67.4,Excellent
F,20,99,73.6,Excellent
F,21,15,17.9,Poor
F,21,16,18.6,Poor
F,21,17,19.4,Poor
F,21,18,20.1,Poor
F,21,19,20.8,Poor
F,21,20,21.5,Fair
F,21,21,22.2,Fair
F,21,22,22.9,Fair
F,21,23,23.7,Fair
F,21,24,24.4,Fair
F,21,25,25.1,Fair
F,21,26,25.8,Fair
F,21,27,26.5,Fair
F,21,28,27.3,Fair
F,21,29,28,Fair
F,21,30,28.7,Fair
F,21,31,29.4,Fair
F,21,32,30.1,Fair
F,21,33,30.8,Fair
F,21,34,31.6,Fair
F,21,35,32.3,Fair
F,21,36,33,Fair
F,21,37,33.7,Fair
F,21,38,34.4,Fair
F,21,39,35.1,Fair
F,21,40,35.9,Normal
F,21,41,35.9,Normal
F,21,42,36,Normal
F,21,43,36.1,Normal
F,21,44,36.2,Normal
F,21,45,36.3,Normal
F,21,46,36.3,Normal
F,21,47,36.4,Normal
F,21,48,36.5,Normal
F,21,49,36.6,Normal
F,21,50,36.7,Normal
F,21,51,36.8,Normal
F,21,52,36.9,Normal
F,21,53,37,Normal
F,21,54,37.1,Normal
F,21,55,37.2,Normal
F,21,56,37.3,Normal
F,21,57,37.5,Normal
F,21,58,37.6,Normal
F,21,59,37.7,Normal
F,21,60,37.9,Good
F,21,61,38,Good
F,21,62,38.1,Good
F,21,63,38.3,Good
F,21,64,38.4,Good
F,21,65,38.6,Good
F,21,66,38.7,Good
F,21,67,38.9,Good
F,21,68,39,Good
F,21,69,39.2,Good
F,21,70,39.3,Good
F,21,71,39.5,Good
F,21,72,39.6,Good
F,21,73,39.7,Good
F,21,74,39.9,Good
F,21,75,40,Good
F,21,76,40.2,Good
F,21,77,40.4,Good
F,21,78,40.5,Good
F,21,79,40.7,Good
F,21,80,40.9,Excellent
F,21,81,41.1,Excellent
F,21,82,41.2,Excellent
F,21,83,41.4,Excellent
F,21,84,41.6,Excellent
F,21,85,41.8,Excellent
F,21,86,42.2,Excellent
F,21,87,42.6,Excellent
F,21,88,43,Excellent
F,21,89,43.6,Excellent
F,21,90,44.3,Excellent
F,21,91,45,Excellent
F,21,92,45.8,Excellent
F,21,93,46.7,Excellent
F,21,94,47.7,Excellent
F,21,95,48.8,Excellent
F,21,96,54.9,Excellent
F,21,97,61,Excellent
F,21,98,67.1,Excellent
F,21,99,73.2,Excellent
F,22,15,17.8,Poor
F,22,16,18.5,Poor
F,22,17,19.3,Poor
F,22,18,20,Poor
F,22,19,20.7,Poor
F,22,20,21.4,Fair
F,22,21,22.1,Fair
F,22,22,22.8,Fair
F,22,23,23.5,Fair
F,22,24,24.3,Fair
F,22,25,25,Fair
F,22,26,25.7,Fair
F,22,27,26.4,Fair
F,22,28,27.1,Fair
F,22,29,27.8,Fair
F,22,30,28.5,Fair
F,22,31,29.2,Fair
F,22,32,30,Fair
F,22,33,30.7,Fair
F,22,34,31.4,Fair
F,22,35,32.1,Fair
F,22,36,32.8,Fair
F,22,37,33.5,Fair
F,22,38,34.2,Fair
F,22,39,34.9,Fair
F,22,40,35.7,Normal
F,22,41,35.7,Normal
F,22,42,35.8,Normal
F,22,43,35.9,Normal
F,22,44,36,Normal
F,22,45,36.1,Normal
F,22,46,36.1,Normal
F,22,47,36.2,Normal
F,22,48,36.3,Normal
F,22,49,36.4,Normal
F,22,50,36.5,Normal
F,22,51,36.6,Normal
F,22,52,36.7,Normal
F,22,53,36.8,Normal
F,22,54,36.9,Normal
F,22,55,37,Normal
F,22,56,37.1,Normal
F,22,57,37.3,Normal
F,22,58,37.4,Normal
F,22,59,37.5,Normal
F,22,60,37.7,Good
F,22,61,37.8,Good
F,22,62,37.9,Good
F,22,63,38.1,Good
F,22,64,38.2,Good
F,22,65,38.4,Good
F,22,66,38.5,Good
F,22,67,38.7,Good
F,22,68,38.8,Good
F,22,69,39,Good
F,22,70,39.1,Good
F,22,71,39.3,Good
F,22,72,39.4,Good
F,22,73,39.6,Good
F,22,74,39.7,Good
F,22,75,39.9,Good
F,22,76,40,Good
F,22,77,40.2,Good
F,22,78,40.4,Good
F,22,79,40.5,Good
F,22,80,40.7,Excellent
F,22,81,40.9,Excellent
F,22,82,41.1,Excellent
F,22,83,41.3,Excellent
F,22,84,41.5,Excellent
F,22,85,41.7,Excellent
F,22,86,42,Excellent
F,22,87,42.4,Excellent
F,22,88,42.9,Excellent
F,22,89,43.5,Excellent
F,22,90,44.1,Excellent
F,22,91,44.9,Excellent
F,22,92,45.7,Excellent
F,22,93,46.5,Excellent
F,22,94,47.5,Excellent
F,22,95,48.6,Excellent
F,22,96,54.7,Excellent
F,22,97,60.8,Excellent
F,22,98,66.8,Excellent
F,22,99,72.9,Excellent
F,23,15,17.7,Poor
F,23,16,18.4,Poor
F,23,17,19.2,Poor
F,23,18,19.9,Poor
F,23,19,20.6,Poor
F,23,20,21.3,Fair
F,23,21,22,Fair
F,23,22,22.7,Fair
F,23,23,23.4,Fair
F,23,24,24.1,Fair
F,23,25,24.8,Fair
F,23,26,25.5,Fair
F,23,27,26.3,Fair
F,23,28,27,Fair
F,23,29,27.7,Fair
F,23,30,28.4,Fair
F,23,31,29.1,Fair
F,23,32,29.8,Fair
F,23,33,30.5,Fair
F,23,34,31.2,Fair
F,23,35,31.9,Fair
F,23,36,32.6,Fair
F,23,37,33.3,Fair
F,23,38,34.1,Fair
F,23,39,34.8,Fair
F,23,40,35.5,Normal
F,23,41,35.6,Normal
F,23,42,35.6,Normal
F,23,43,35.7,Normal
F,23,44,35.8,Normal
F,23,45,35.9,Normal
F,23,46,35.9,Normal
F,23,47,36,Normal
F,23,48,36.1,Normal
F,23,49,36.2,Normal
F,23,50,36.3,Normal
F,23,51,36.4,Normal
F,23,52,36.5,Normal
F,23,53,36.6,Normal
F,23,54,36.7,Normal
F,23,55,36.8,Normal
F,23,56,36.9,Normal
F,23,57,37.1,Normal
F,23,58,37.2,Normal
F,23,59,37.3,Normal
F,23,60,37.5,Good
F,23,61,37.6,Good
F,23,62,37.8,Good
F,23,63,37.9,Good
F,23,64,38,Good
F,23,65,38.2,Good
F,23,66,38.3,Good
F,23,67,38.5,Good
F,23,68,38.6,Good
F,23,69,38.8,Good
F,23,70,38.9,Good
F,23,71,39.1,Good
F,23,72,39.2,Good
F,23,73,39.4,Good
